STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
UKE00107650,"HEATHROW, UK",1980,38,38,138,65,0,0,34,0,52,0,21,0,1.64,84,32,27,24,,,23,23,23,,,5028,5028,23.15,50.6,57.6,43.7
UKE00107650,"HEATHROW, UK",1981,54,54,153,72,7,0,45,2,62,0,11,9,1.15,84,31,22,22,17,11,31,25,22,,,4954,4954,26.76,50.4,57.4,43.5
UKE00107650,"HEATHROW, UK",1982,,,156,78,9,0,35,2,72,0,14,7,1.09,85,28,28,24,,,32,26,24,17,14,5025,5025,25.58,51.8,59.2,44.4
UKE00107650,"HEATHROW, UK",1983,274,274,139,72,1,0,47,0,79,2,19,1,1.06,91,30,28,19,19,,32,25,23,,,,,21.06,52.1,59.4,44.7
UKE00107650,"HEATHROW, UK",1984,161,161,146,73,0,0,37,0,80,0,26,0,1.42,89,31,,,,,31,26,,,,4927,4927,25.26,51.6,58.9,44.3
UKE00107650,"HEATHROW, UK",1985,44,44,138,64,9,0,64,7,51,0,18,2,1.39,86,26,26,22,,,30,28,20,19,,5040,5040,20.72,50.2,57.3,43.1
UKE00107650,"HEATHROW, UK",1986,83,83,156,75,6,0,52,4,52,0,15,3,1,87,31,,,,,30,25,20,20,15,5353,5353,25.08,49.9,56.9,42.8
UKE00107650,"HEATHROW, UK",1987,,,147,72,1,0,53,5,53,0,16,2,2.09,85,27,27,,,,31,27,23,18,16,,,25.75,50.4,57.2,43.7
UKE00107650,"HEATHROW, UK",1988,25,25,143,65,0,0,30,0,43,0,25,0,1.11,84,29,27,,,,28,28,,,,4838,4838,21.74,51.5,58.4,44.6
UKE00107650,"HEATHROW, UK",1989,248,248,122,62,0,0,21,0,97,1,22,0,1.05,94,26,26,22,,,32,25,24,,,4533,4533,21.01,53.6,61.3,45.9
UKE00107650,"HEATHROW, UK",1990,229,229,117,56,0,0,14,0,93,5,24,0,0.63,98,32,24,24,,,31,,,,,4049,4049,16.75,53.7,61.4,45.9
UKE00107650,"HEATHROW, UK",1991,126,126,118,60,7,0,42,4,73,0,16,5,1.14,85,31,27,18,18,,31,27,23,16,16,4961,4961,20.99,51.2,58.2,44.1
UKE00107650,"HEATHROW, UK",1992,121,121,146,71,0,0,38,0,78,0,22,0,2.43,86,31,27,22,,,31,26,24,,,4476,4476,25.57,52.1,59.2,45.1
UKE00107650,"HEATHROW, UK",1993,48,48,134,70,0,0,26,0,59,0,20,0,2.34,83,31,22,22,,,30,23,23,,,4651,4651,24.17,51.5,58.5,44.4
UKE00107650,"HEATHROW, UK",1994,,,151,81,1,0,24,0,75,1,22,1,0.97,92,23,23,23,,,31,28,22,,,5019,5019,24.83,53,60.2,45.9
UKE00107650,"HEATHROW, UK",1995,348,348,127,64,0,0,35,0,86,5,23,0,1.09,94,29,28,23,,,31,25,24,,,,,21.23,53.4,61.2,45.5
UKE00107650,"HEATHROW, UK",1996,140,140,120,52,1,0,56,2,81,0,22,1,0.81,89,29,27,,,,30,25,24,,,4777,4777,16.56,51,58.3,43.7
UKE00107650,"HEATHROW, UK",1997,241,241,,,0,0,30,1,93,0,22,0,,89,29,27,,,,31,28,23,,,4617,4617,,53.7,61.2,46.3
UKE00107650,"HEATHROW, UK",1998,69,69,162,90,0,0,21,0,80,0,25,0,0.96,88,31,27,,,,32,27,,,,4059,4059,26.97,52.9,59.8,46
UKE00107650,"HEATHROW, UK",1999,184,184,154,76,0,0,20,0,78,1,22,0,1.72,91,31,22,22,,,29,27,,,,4232,4232,26.07,53.4,60.6,46.3
UKE00107650,"HEATHROW, UK",2000,,,161,93,0,0,19,0,66,0,22,1,1.44,89,30,26,22,,,31,26,,,,4336,4336,32.3,52.8,59.4,46.2
UKE00107650,"HEATHROW, UK",2001,207,207,163,88,0,0,35,0,75,0,24,0,0.71,89,31,26,,,,24,24,,,,,,27.77,52.3,59.1,45.5
UKE00107650,"HEATHROW, UK",2002,107,107,163,91,0,0,13,0,71,1,22,0,1.15,90,,,,,,31,26,22,,,4192,4192,30.97,53.7,60.5,47
UKE00107650,"HEATHROW, UK",2003,305,305,122,61,1,0,27,0,104,6,23,2,1.06,100,31,26,,,,31,27,23,,,4094,4094,18.74,53.8,61.5,46
UKE00107650,"HEATHROW, UK",2004,197,197,155,73,0,0,27,0,83,0,23,1,1.35,87,31,27,,,,32,25,23,,,4266,4266,24.4,53.3,60.1,46.6
UKE00107650,"HEATHROW, UK",2005,226,226,137,60,0,0,34,0,86,1,23,0,0.83,91,30,27,,,,30,23,23,,,4421,4421,17.72,53.2,60.2,46.2
UKE00107650,"HEATHROW, UK",2006,362,362,155,76,,0,28,0,100,6,24,,1.06,96,31,28,,,,31,27,24,,,4488,4488,25.04,54.1,61,47.2
UKE00107650,"HEATHROW, UK",2007,45,45,148,83,,0,23,0,74,0,23,,1.41,84,28,28,,,,29,27,23,,,3695,3695,26.81,53.5,60.4,46.5
UKE00107650,"HEATHROW, UK",2008,100,100,158,75,,0,25,0,65,0,25,,1.04,85,31,28,,,,31,28,,,,4455,4455,25.85,52.4,59.3,45.5
UKE00107650,"HEATHROW, UK",2009,141,141,154,74,,0,38,0,86,0,20,,1.23,88,31,25,22,,,32,27,23,20,,4690,4690,26.88,53,60.1,45.9
UKE00107650,"HEATHROW, UK",2010,181,181,142,65,,0,56,0,86,0,15,,0.86,88,31,26,23,20,15,28,28,22,,,4663,4663,20.53,51.1,58.2,43.9
UKE00107650,"HEATHROW, UK",2011,86,86,128,55,,0,17,0,79,0,28,,1.07,88,29,,,,,29,28,,,,4357,4357,20.05,54.2,61.5,46.9
UKE00107650,"HEATHROW, UK",2012,134,134,151,85,3,0,31,0,64,0,18,3,1.03,87,29,25,,,,30,26,20,20,,4263,4263,27.85,52.3,59.5,45.2
UKE00107650,"HEATHROW, UK",2013,248,248,139,72,3,0,37,1,84,2,23,2,1.17,93,27,27,,,,30,28,24,,,5049,5049,22.05,52,59,45
UKE00107650,"HEATHROW, UK",2014,172,172,166,93,0,0,10,0,99,0,25,0,1.06,87,32,26,,,,30,,,,,3959,3959,34.02,54.7,62,47.4
UKE00107650,"HEATHROW, UK",2015,109,109,142,64,0,0,23,0,68,2,21,0,2.03,98,29,,,,,31,27,21,,,4122,4122,22.13,53.7,60.9,46.5
UKE00107650,"HEATHROW, UK",2016,216,216,136,67,0,0,23,0,92,3,24,0,1.06,92,30,24,24,,,31,26,24,,,4118,4118,23.25,53.4,60.6,46.1
